Variable Name,Units,Definition,Type,Comments,Possible Scenario Grouping
SE.Avg_FS_throughput,ton per day,"Calculates average feedstock throughput at full utilization for facilities that are currently on line, accounting for current industry maturity",Array | Internal Calculation,,
SE.Avg_FS_Thruput_Cap,ton per day,"Calculates average potential feedstock throughput at full utilization and full commercial maturity, for facilities that are currently on line.",Array | Internal Calculation,,
SE.Avg_FS_Thruput_Cap_Pipeline,ton per day,"Tracks average potential feedstock throughput at full utilization and full maturity, for facilities that are currently in design and construction",Array | Internal Calculation,,
SE.Avg_FS_Thruput_Pipeline_C,ton per day,"Calculates average feedstock throughput at full utilization for facilities that are currently in design and constructon, accounting for current industry maturity",Array | Internal Calculation,,
SE.Avg_ORNOVOC,US dollars per year,"Calculates average operating revenue net of variable operating cost (ORNOVOC), for facilities that are currently on line.",Array | Internal Calculation,,
SE.Avg_ORNOVOC_D_and_C_C,US dollars per year,"Calculates average operating revenue net of variable operating cost (ORNOVOC), for facilities that are currently in design and construction",Array | Internal Calculation,,
SE.Avg_Plant_Output_gal_day,GPD,Calculates (per plant)  average output in gallons per day (GPD) under full utilization for facilities that are currently on line,Array | Internal Calculation,,
SE.Avg_Plant_Output_gal_yr,gallons per year,Calculates (per plant)  average output in gallons per year under full utilization for facilities that are currently on line,Array | Internal Calculation,Accounts for number of days per year facilities are expected to be on line under full utilization,
SE.Avg_Plant_Output_gpd_pipeline_C,GPD,Calculates (per plant)  average output in gallons per day (GPD) under full utilization for facilities that are currently in design and construction,Array | Internal Calculation,,
SE.Avg_PY,gal per ton,Tracks the average process yield of facilities that are on line.,Array | Internal Calculation | Sector Interface | Module Interface,,
SE.Avg_PY_Pipeline,gal per ton,Tracks the average process yield of facilities that are on in design and construction,Array | Internal Calculation | Sector Interface,,
SE.Background_Subs,Unitless,"Sets subsidy amounts for price (in USD/gal), feedstock (USD/ton), FCI (fraction of FCI), and loan guarantee (fraction of loan that has associated guarantee).  Actual subsidy controlled by policy switch, policy start and stop",Array | Scenario Input,,
SE.Commercial_Maturity,Unitless,Level of commercial maturity (on 0-1 scale),scalar | Internal Calculation | Sector Interface,,
SE.commercial_maturity_gap,Unitless,Calculates difference between current level of commercial maturity and maturity for fully mature industry (1.0),scalar | Internal Calculation,,
SE.Completed_PC_Scale_Ops,Projects,Accumulates number of pre commercial (PC) scale projects that have come to completion,scalar | Internal Calculation,,
SE.Completed_Pilot_Scale_Ops,Projects,Accumulates number of pilot scale projects that have come to completion,scalar | Internal Calculation,,
SE.completing_D_and_C,projects per year,Conveyor outflow that captures completion of design/construction phase of  commercial scale projects,Array | Internal Calculation,Flow is discretized because inflows to conveyor have been discretized,
SE.completing_PC_development,projects per year,Conveyor outflow that captures completion of development for pre commercial (PC) projects,scalar | Internal Calculation,,
SE.completing_PC_scale_ops,projects per year,Conveyor outflow that captures completion of operation for pre commercial (PC) projects,scalar | Internal Calculation,,
SE.completing_Pilot_development,projects per year,Conveyor outflow that captures completion of development for pilot projects,scalar | Internal Calculation,,
SE.completing_Pilot_scale_ops,projects per year,Conveyor outflow that captures completion of operation for pilot projects,scalar | Internal Calculation,,
SE.Contracted_Output_Capacity,gallons per year,"Defines scenario over time for gallons per yer of output that is guaranteed by contract to be purchased (and hence, is not subject to market-based economic considerations)",Array | Scenario Input,,
SE.contracted_utilization,Unitless,Assumed value for utilization factor for capacity that is producing output that is guaranteed by contract to be purchased,scalar | Constant | Scenario Input,,
SE.Converter_1,USD per gallon,module interface to IOI.lcfs credit w transport SE,array | module interface,,
SE.Cost_to_Price_Ratio,Unitless,Calculates variable cost (feedstock minus other revenues net of variable operating cost) per gallon of output relative to expected price after any subsidy. Used as an input to facility utilization.,Array | Internal Calculation,,
SE.Cume_FCI_Subs,US Dollars,Accumulates Fixed Capital Investment (FCI) subsidies by conversion pathway over course of simulation,scalar | Internal Calculation,,
SE.Cume_FS_Subs,US Dollars,Accumulates Feedstock (FS) subsidies by conversion pathway over course of simulation,scalar | Internal Calculation,,
SE.Cume_Interest_Payment,US Dollars,Calculates cumulative interest payment associated with investment in &quot;next&quot; facility,Array | Internal Calculation,,
SE.Cume_Loan_Guarantee_Exposure,US Dollars,"Accumulates cumulative exposure to guarantor of loan guarantee, over course of simulation",scalar | Internal Calculation,,
SE.Cume_Loan_Payment,US Dollars,Calculates cumulative total loan payment (interest + principal) associated with investment in &quot;next&quot; facility,Array | Internal Calculation,,
SE.Cume_Prodn_Subs,US Dollars,Accumulates production-related subsidies by conversion pathway over course of simulation,scalar | Internal Calculation,,
SE.Cumulative_Industry_Output,billions-gal,Accumulates production by conversion pathway over course of simulation,scalar | Sector Interface,,
SE.Cumulative_Module_Output,billions-gal,"sums cumulative production across conversion pathways, over course of simulation",scalar | Internal Calculation | Sector Interface,Unit check fails due to presence of exponentiation operation.,
SE.Cumulative_PC_Experience,hour,Accumulates hours of pre commercial (PC) operations over the course of the simulation,scalar | Internal Calculation,Unit check fails due to presence of exponentiation operation.,
SE.Cumulative_Pilot_Experience,hour,Accumulates hours of pilot operations over the course of the simulation,scalar | Internal Calculation,Unit check fails due to presence of exponentiation operation.,
SE.Days_per_Year_Online,DaysPerYr,Expected number of days per year that facilities can be expected to be on line at full utilization,scalar | Techno-economic Input,,
SE.debt_interest_rate_as_frac,per year,Expresses Interest rate for capital debt as a fraction,scalar | Internal Calculation,,
SE.Debt_Interest_Rate_as_Pct,percent/yr,Assumed Interest rate for capital debt,scalar | constant | scenario Input,,
SE.Demo_Multipliers,Unitless,"Translates pre commercial-scale maturity into a set of multipliers that characterize the &quot;current&quot; state of technology from the perspective of piloting AND demoing. Captured as weighted average, with weighting factor dynamically determined by indices of demo maturity. After winding through multiple learning curves, resultant multiplier is applied to mature industry values to define attributes of each technology.",Array | Internal Calculation,,
SE.depreciation_period,years,Depreciation period for capital equipment,scalar | constant | Techno-economic Input,,
SE.Des_C_to_EtOH_yrly_starts,Projects per Year,module interface to RA.Des S to EtOH yrly starts,scalar | module interface,,
SE.discount_factor,years,"Calculates discount factor for doing NPV calculation for total commercial project length, incl. design, construction, startup, project lifetime.",scalar | Internal Calculation,"Standard financial calculation for annuity.  See, for example, Present Value entry in wikipedia. Unit check fails due to presence of exponentiation operation.",
SE.discount_factor_1,years,"Calculates discount factor for doing NPV calculation for portion of commercial project lifetime up to end of depreciation period OR end of loan term, whichever is SMALLER.",scalar | Internal Calculation,"Standard financial calculation for annuity.  See, for example, Present Value entry in wikipedia. Unit check fails due to presence of exponentiation operation.",
SE.discount_factor_2,years,"Calculates discount factor for doing NPV calculation for portion of commercial project lifetime up to end of depreciation period OR end of loan term, whichever is LARGER.",scalar | Internal Calculation,"Standard financial calculation for annuity.  See, for example, Present Value entry in wikipedia. Unit check fails due to presence of exponentiation operation.",
SE.discount_factor_DC,years,"Calculates discount factor for doing NPV calculation for the period of design, construction, startup, for commercial plants",scalar | Internal Calculation,"Standard financial calculation for annuity.  See, for example, Present Value entry in wikipedia. Unit check fails due to presence of exponentiation operation.",
SE.discount_factor_loan,years,Calculates discount factor for doing NPV calculation for loan term for commercial facilities,scalar | Internal Calculation,"Standard financial calculation for annuity.  See, for example, Present Value entry in wikipedia. Unit check fails due to presence of exponentiation operation.",
SE.discount_factor_Loan_Payment,years,Calculates discount factor for calculating loan repayment amount (principal + interest) for commercial-scale project,scalar | Internal Calculation,"Standard financial calculation for annuity.  See, for example, Present Value entry in wikipedia. Unit check fails due to presence of exponentiation operation.",
SE.distn_new_facilities,Unitless,"Distributes plant start logic regionally, based on relative attractiveness as modified by regional concentration weighting factor that depends on industry maturity.",Array | Internal Calculation,,
SE.Doubling,doubling,Always a value of 1 to capture one doubling,Scalar | Constant,,
SE.doubling_factor,1/doubling,Scaling factor that translates growth rate into doubling time or doubling rate,scalar | Internal Calculation,,
SE.Early_Pilot_Multipliers,Unitless,Estimate of the fraction of each technology attributes is realizable at the initial stage of pilot effort,Array | Techno-economic Input,,Required RoR
SE.endogenous_plant_planning,Projects per Year,Logic that drives endogenously-determined continuous pressure to invest in facilities into the system,Array | Internal Calculation,,
SE.Equity_Fraction,Unitless,"Calculates fraction of &quot;next&quot; facility fixed capital investment is financed by equity (vs debt), after applying available loan guarantees",scalar | Internal Calculation,,
SE.est_depreciation_exp_USD_per_gal,USD per gallon,Calculates depreciation expense for the &quot;next&quot; facility on a per gallon basis,Array | Internal Calculation,,
SE.est_depreciation_expense,US dollars per year,Calculates depreciation expense for the &quot;next&quot; facility,Array | Internal Calculation | Sector Interface,,
SE.exogenous_plant_scenario,Projects per Year,Logic that drives exogenously specified commercial scale plant scenario into the system,Array | Internal Calculation,,
SE.exp_net_op_cost_USD_per_gal,USD per gallon,Calculates net operating cost for the &quot;next&quot; facility on a per gallon basis,Array | Internal Calculation,,
SE.exp_net_op_cost_USD_per_yr,US dollars per year,"Calculates expected operating cost, net of power and coproduct sales, for the &quot;next&quot; facility",Array | Internal Calculation,,
SE.Exp_Other_Coproduct_Sales_Rev,US dollars per year,Expected Other Coproduct Sales Revenues,scalar | constant | Techno-economic Input,,
SE.Exp_Power_Sales_Rev,US dollars per year,Expected power sales revenues from next commercial-scale facility,scalar | constant | Techno-economic Input,,
SE.Exp_Revs_Net_of_Op_Cost,US dollars per year,Calculates expected revenues net of  expected operating cost for &quot;next&quot; commercial plant,Array | Internal Calculation,,
SE.Exp_Sales_Rev,US dollars per year,Calculates expected fuel sales revenue for &quot;next&quot; commercial facility,Array | Internal Calculation,,
SE.Expected_Equity_Fraction,Unitless,"Calculates fraction of fixed capital investment for &quot;next&quot; commercial facility to be funded through equity financing, accounting for current industry maturity but before application of loan guarantees",scalar | Internal Calculation,,
SE.Expected_FCI,US Dollars,Calculates expected fixed capital investment (FCI) for next commercial-scale facility including cost growth associated with immature industry but before FCI subsidy,Array | Internal Calculation | Sector Interface,,
SE.Expected_FCI_after_Subs,US Dollars,Calculates expected fixed capital investment (FCI) for next commercial-scale facility after FCI subsidy has been applied,Array | Internal Calculation,,
SE.Expected_Fixed_Op_Cost,US dollars per year,Expected fixed operating cost for mature industry facilities,scalar | Constant | Techno-economic Input,value is for a &quot;standard&quot; mature industry commercial scale facility,
SE.Expected_FS_cost_after_Subs,USD per ton,Calculates expected feedstock cost after applying feedstock subsidies,Array | Internal Calculation | Sector Interface,,
SE.Expected_Op_Cost,US dollars per year,Calculates expected annual operating cost for &quot;next&quot; commercial facility,Array | Internal Calculation | Sector Interface,,
SE.Expected_Other_VBL_Op_Cost,US dollars per year,"Expected other (i.e., non feedstock related) operating cost for mature industry facilities",scalar | constant | Techno-economic Input,,
SE.Expected_Plant_Output,gallons per year,"Calculates output of &quot;next&quot; commercial facility, expressed in gallons per year",Array | Internal Calculation,,
SE.Expected_Plant_Output_Gal_Day_C,GPD,Calculates output of &quot;next&quot; commercial facility by applying process yield to feedstock throughput,Array | Internal Calculation,,
SE.Expected_Price_after_Subs,USD per gallon,"Calculates expected per-gallon price of conversion product, after incentives and credits",Array | Internal Calculation | Sector Interface | Module Interface,,
SE.Expected_Regional_Cellulosic_FS_cost_USD_ton,USD per ton,module interface to FM.Regionalized Annual Price input USD per ton,array | module interface,,
SE.Expected_Tax_1,US dollars per year,Calculates expected taxes during portion of plant life beginning when plant is operational and ending at end of loan term or depreciation period--whichever is smaller.,Array | Internal Calculation,,
SE.Expected_Tax_2,US dollars per year,Calculates expected taxes during portion of plant life between end of depreciation period and end of loan term,Array | Internal Calculation,,
SE.Expected_Tax_3,US dollars per year,Calculates expected taxes during portion of plant lifetime after loan term AND depreciation period,Array | Internal Calculation,,
SE.Expected_Tax_Rate,Unitless,Expected tax rate associated with income from facilities,scalar | Constant | Scenario Input,,
SE.Expected_Taxable_Income_1,US dollars per year,Calculates expected taxable income during portion of plant life when both depreciation period and loan term are in effect.,Array | Internal Calculation,,
SE.Expected_Taxable_Income_2,US dollars per year,Calculates expected taxable income during portion of plant life between end of depreciation period and end of loan term.,Array | Internal Calculation,,
SE.Expected_Taxable_Income_3,US dollars per year,Calculates expected taxable income during portion of plant lifetime after loan term AND depreciation period,Array | Internal Calculation,,
SE.FCI_after_USD_per_gal,USD per gallon,Calculates annual loan payment for &quot;next&quot; facility on a per-gallon of capacity basis,Array | Internal Calculation,variable is mis-named.  Should be Loan Payment USD per gal,
SE.FCI_scale_factor,Unitless,Exponent for scale factor for fixed capital investment (FCI),scalar | constant | Techno-economic Input,,
SE.FCI_subs_by_pathway_and_region,US dollars per year,Calculates total annual flow of fixed capital investment (FCI) subsidy per year,Array | Internal Calculation,,
SE.FCI_Subs_Logic,US Dollars,"Calculates per-facility commercial scale fixed capital investment subsidies.  Logic is controlled by switch, time constraints, and subsidy amount",Array | Internal Calculation | Sector Interface,,
SE.Feedstock_Constraint_on_Utilization,Unitless,Calculates constraint imposed by feedstock availability on conversion capacity utilization,Array | Internal Calculation | Sector Interface | Module Interface,,
SE.Feedstock_Cost_USD_per_gal,USD per gallon,"Calculates feedstock cost in USD per gallon, accounting for process yield",Array | Internal Calculation,,
SE.feedstock_effectiveness_multiplier,Unitless,Multiplier used to represent discrepancy between calculated and &quot;real world&quot; demand for feedstock.,Array | Constant | Scenario Input,set to 1,
SE.feedstock_fractions,Unitless,Calculates routing of woody and herbaceous feedstocks to different conversion pathways,Array | Internal Calculation,,
SE.Feedstock_Thruput_Incremental_Scale_Factor,Unitless,calculates incremental scale factor for &quot;next&quot; plant capacity based on maturity and scenario inputs,Array | Internal Calculation,,
SE.fixed_cost_USD_per_gal,USD per gallon,calculates fixed cost base of &quot;next&quot; facility in USD per gallon,Array | Internal Calculation,,
SE.FLM_C_to_PreProcess_Cost,USD per ton,unused placeholder for module connection,unused,unused variable,
SE.FLM_frac_supply_system_advanced,unitless,module interface to FM.frac supply system advanced,array | module interface,,
SE.frac_contracted_capacity,Unitless,Calculates fraction of output capacity is allocated to production under guaranteed offtake contract,Array | Internal Calculation,,
SE.Frac_Plant_Debt_Financed,Unitless,Calculates fraction of &quot;next&quot; facility fixed capital investment (FCI) subject to debt financing,scalar | Internal Calculation,,
SE.frac_rate_of_growth_in_industry_output,per year,"Calculates the rate of growth in industry output, by technology pathway",scalar | Internal Calculation,,
SE.frac_rate_of_growth_PC_experience,per year,"Calculates the rate of growth in pre commercial (PC) experience, by technology pathway",scalar | Internal Calculation,,
SE.frac_rate_of_growth_pilot_experience,per year,"Calculates the rate of growth in pilot-scale experience, by technology pathway",scalar | Internal Calculation,,
SE.fraction_of_Commercial_cost_growth_anticipated,Unitless,Assumed value for investor estimate of the portion of capital cost growth that is anticipated in net present value calculations,scalar | Constant | Scenario Input,,
SE.fs_constraint_by_fs_type,Unitless,Constraint calculated as linear function of actual feedstock consumption relative to feedstock demand.,Array | Graphical function | Internal Calculation,,
SE.fs_demand_at_nominal_utilization,million-ton/yr,Calculates feedstock demand from conversion pathways,Array | Internal Calculation,,
SE.fs_demand_incl_pipeline,million-ton/yr,Calculates the feedstock flux required required to support both current and in development production capacity,Array | Module Interface,,
SE.FS_Subs_Logic,USD per ton,"Logic that controls feedstock subsidy accruing to fuel producers.  Logic controlled by switch, time constraints, and subsidy amount",scalar | Sector Interface,,
SE.FS_thruput_cap_influx,projects-ton/(day-yr),"Samples state of the industry thruput capacity, applying it to influx of commercial scale plants entering design and construction.  Resultant downstream structure used to track for commercial-scale plants.",Array | Internal Calculation,,
SE.FS_thruput_Cap_Ratio,Unitless,"Calculates ratio of &quot;next&quot; facility thruput capacity (i.e., scale) relative to standardized thruput capacity given by techno-economic input scenario.  Used to calculate economy of scale inputs",Array | Internal Calculation,,
SE.FS_Thruput_Cap_Retirements,projects-ton/(day-yr),"Calculates outflux from system of thruput capacity, associated with retirement of on-line facilities",Array | Internal Calculation,,
SE.FS_Thruput_Cap_to_Startup_C,projects-ton/(day-yr),Calculates flux of thruput capacity associated with new facilities coming on line,Array | Internal Calculation,,
SE.IBR_PC_experience,hr/yr,Scenario depicting annual IBR experience at pre commercial level,scalar | Graphical function | Scenario Input,,Program Scenarios
SE.IBR_Pilot_experience,hr/yr,Scenario depicting annual IBR experience at pilot level,scalar | Graphical function | Scenario Input,,Program Scenarios
SE.Impact_of_regional_industry_development_on_scale_factor,Unitless,Behavioral assumption reflecting relationship between development of supply system and constraint scale effects,Array | Graphical function,,
SE.In_Design_and_Cons,Projects,Conveyor that tracks commercial  scale operations in design and construction stages,Array | Internal Calculation,,
SE.increase_in_PY_commercial_industry,gal-projects/(ton-yr),Captures spillover from learning curve dynamics around process yield  into existing full  commercial scale operations,Array | Internal Calculation,,
SE.incremental_scale_factor_from_industry_maturity,Unitless,Assumed relationship between commercial maturity and degree of scale-up for &quot;next&quot; facility,Array | Graphical function,,
SE.incremental_scale_up_level,Unitless,Expresses maximum additional scale (relative to standardized thruput capacity given by techno-economic input scenario). Scale-up level of 1 implies maximum scale of 2x value given by techno-economics,scalar | Constant | Scenario Input | Techno-economic input,,Feedstock Logistics Maturity
SE.industry_FS_thruput_tpy,ton per year,Calculates total annual industry feedstock consumption,Array | Internal Calculation,,
SE.Industry_Process_Yield_Gap,gal per ton,Captures difference between current state of industry process yield and average process yield as reflected in current industry.,Array | Internal Calculation,,
SE.Initial_Equity_Investment,US Dollars,Amount of total commercial project Fixed Capital Investment to be financed through equity funding,Array | Internal Calculation,,
SE.Initial_FS_Thruput_Cap,ton per day,calculated value for average per-plant thruput capacity in initial condition,Array | internal calculation,,
SE.Initial_Indices_of_Commercial_Maturity,Unitless,Estimated initial value for commercial maturity,scalar | constant | Techno-economic input,,Conversion Pathway Maturity
SE.Initial_Indices_of_PC_Maturity,Unitless,Estimated initial value for pre commercial maturity,scalar | constant | Techno-economic input,,Conversion Pathway Maturity
SE.Initial_Indices_of_Pilot_Maturity,Unitless,Estimated initial value for pilot maturity,scalar | constant | Techno-economic input,,Conversion Pathway Maturity
SE.Initial_ORNOVOC,US dollars per year,"calculated initial value for other revenue (power, coproduct) net of other variable op cost. Used to iitialize ORNOVOC structure.",Array | internal calculation,,
SE.Initial_Other_Rev,US dollars per year,"calculated initial value for other revenue (power, coproduct), considering average scale of facilities in the region",Array | internal calculation,,
SE.Initial_Other_VBL_Op_Cost,US dollars per year,"calculated initial value for other variable operating cost, considering average scale of facilities in the region",Array | internal calculation,,
SE.initial_scale_factor,unitless,calculated (based on RFA data) scale factor for initial condition.  Used to set initial values for scale for starch ethanol industry,Array | Constant,,
SE.Initial_thruput_Cap_Ratio,unitless,"ratio of average regional per pland thruput capacity, relative to TEA-based mature thruput capacity.  Used to calculate intial conditions for ORNOVOC",Array | internal calculation,,
SE.initiating,Projects per Year,Pulses out integer value from plant start accumulator whenever value in accumulator is &gt;=1,Array | Internal Calculation,,
SE.initiating_PC_development,Projects per Year,"Pulses integer value of pre commercial projects into development each year, based on technology switch settings and start scenario",Array | Internal Calculation,,
SE.initiating_Pilot_development,Projects per Year,"Pulses integer value of pilot projects into development each year, based on technology switch settings and start scenario",Array | Internal Calculation,,
SE.invest_attractiveness_weighting,Gallons/(US Dollars*Years),module interface to RA.invest attractiveness weighting,scalar | module interface,,
SE.k,Unitless,Assumed non-$-based utility component ofattractiveness of commercial scale operations,scalar | Constant | assumed value,,
SE.L_Commercial,Unitless,Natural log of attractiveness of commercial scale plants,scalar | Internal Calculation,,
SE.L_G_exposure_by_pathway_and_region,US dollars per year,Calculates annual loan guarantee expsure for new commercial scale operations,Array | Internal Calculation,,
SE.lambda,Unitless,Parameter used in nested logit calculation,scalar | Constant | assumed value,,
SE.learning_logic,per year,Calculates influx to commercial maturity based on maturity gap and progress ratio,scalar | Internal Calculation,,
SE.length_of_period_1,years,"Calculates portion of project lifetime up to end of depreciation period OR end of loan term, whichever is SMALLER.",scalar | Internal Calculation,,
SE.length_of_period_2,years,"Calculates portion of project lifetime up to end of depreciation period OR end of loan term, whichever is LARGER.",scalar | Internal Calculation,,
SE.Loan_Guarantee_Logic,Unitless,"Calculates the fraction of expected full commercial scale fixed capital investment (after any FCI subsidy) that is subject to loan guarantees.  Logic is controlled by switch, time constraints, and subsity amount.  Resultant value is used to define the equity portion of the FCI investment.",scalar | Sector Interface,,
SE.Loan_Principal,US Dollars,Calculates the portion of fixed capital investment (FCI) for the &quot;next&quot; project that can be financed as loan,Array | Internal Calculation,,
SE.logging_PC_experience,hr/yr,Calculates the influx of pilot scale experience,scalar | Internal Calculation,,
SE.logging_pilot_experience,hr/yr,Calculates the influx of pre commercial experience,scalar | Internal Calculation,,
SE.Mature_Commercial_Multipliers,Unitless,"Values of 1 reflect concept that when industry is fully mature, investers will encounter mature industry values for technology attributes.",Array |Constant | Techno Economic Input,,
SE.Mature_FS_Thruput_Capacity,ton per day,"Estimated mature commercial feedstock throughput, measured at &quot;throat of reactor&quot;",scalar |constant | Techno Economic Input,,
SE.Mature_Industry_Equity_Fraction,Unitless,Expected fraction of Investment to be funded through equity financing for commercial plants for mature industry,scalar |Constant | Techno Economic Input,,
SE.Mature_Industry_FCI,US Dollars,Estimated mature industry facility fixed capital investment (FCI),scalar |Constant | Techno Economic Input,,
SE.Mature_Industry_P_Success,Unitless,Sets likelihood of technically successful plant for completely mature industry,scalar | Constant | Techno Economic Input,,
SE.Mature_Industry_Process_Yield,gal per ton,Estimated mature industry process yield in gallons of output per ton of input,scalar | Constant | Techno Economic Input,,
SE.Mature_Industry_Rate_of_Return_as_PCT,percent/yr,Project rate of return required for mature industry project,scalar | constant |Techno Economic Input,,Required RoR
SE.Mature_PC_Multipliers,Unitless,Assumed value indicates the fraction of feedstock cost is realized at the fully mature stage of demo effort,Array |Constant | Techno Economic Input,,Required RoR
SE.Mature_Pilot_Multipliers,Unitless,Assumed value indicates the fraction of feedstock cost attribute that is realized at the fully mature stage of pilot effort,Array |Constant | Techno Economic Input,,Required RoR
SE.maturing_industry_scale_factor,unitless,"Calculates scale factor for thruput capacity as industry matures.  As weight factor moves from 0 to 1, this equation reutrns a value between the pioneer capacity scale factor and 1, which is then is applied to mature thruput capactity to determine the next plant&apos;s capacity.",scalar | Internal Calculation,,
SE.maturity_weight_factor,unitless,"Assumed relationship between commercial maturity and weighting factor for pioneer capacity vs mature capacity for facilities.  As commercial maturity increases from 0 to 0.75, weighting factor moves from 0 to 1.  value of 0 implies pioneer scale; value of 1 implies scale factor of 1, consistent with mature industry thruput capacity.",scalar | Graphical function,Graphical function should range between 0 and 1,
SE.Max_S_to_EtOH_Prodn,billion GPY,Assumed maximum annual starch to ethanol production,scalar |constant | scenario input,,
SE.MFSP_fixed_cost_per_gal,USD per gallon,Calculates fixed cost per gallon component of minimum fuel selling price,scalar | Internal Calculation,,
SE.MFSP_fs_cost_per_gal,USD per gallon,Calculates feedstock cost per gallon component of minimum fuel selling price,scalar | Internal Calculation,,
SE.MFSP_net_op_cost_per_gal,USD per gallon,Calculates operating cost per gallon component of minimum fuel selling price,scalar | Internal Calculation,,
SE.MFSP_USD_per_gal,USD per gallon,Calculates  minimum fuel selling price for &quot;next&quot; facility,scalar | constant | scenario input,,
SE.Min_Cume_Industry_Output_For_Learning,billions-gal,"Sets threshold before calculating rate of growth in industry output, and hence, learning.",scalar | Constant |  assumed value,,
SE.Min_PC_Experience_for_Learning,hours,"Sets threshold before calculating rate of growth in demo experience, and hence, learning.",scalar | Constant | assumed value,,
SE.Min_Pilot_Experience_for_Learning,hours,"Sets threshold before calculating rate of growth in pilot experience, and hence, learning.",scalar | Constant | assumed value,,
SE.NextPlant_Expected_FCI,US Dollars,Calculates fixed capital investment (FCI) associated with investment in &quot;next&quot; facility,Array | Internal Calculation | Sector Interface,,
SE.NextPlant_Expected_Fixed_Op_Cost,US dollars per year,Calculates expected fixed operating cost associated with investment in &quot;next&quot; facility,Array | Internal Calculation | Sector Interface,,
SE.NextPlant_Expected_Other_VBL_Op_Cost,US dollars per year,Calculates other variable operating costs associated with investment in &quot;next&quot; facility,Array | Internal Calculation | Sector Interface,,
SE.NextPlant_Expected_Power_Sales_Rev,US dollars per year,Calculates expected power sales revenues with investment in &quot;next&quot; facility,Array | Internal Calculation | Sector Interface,,
SE.NextPlant_FS_Thruput_Cap,ton per day,Calculates thruput capacity associated with investment in &quot;next&quot; facility,Array | Internal Calculation | Sector Interface,,
SE.NextPlant_ORNOVOC,US dollars per year,"Calculates other revenue (coproduct, power) net of variable operating cost, associated with investment in &quot;next&quot; facility",Array | Internal Calculation | Sector Interface,,
SE.NextPlant_Other_Coproduct_Sales_Rev,US dollars per year,Calculates  coproduct revenue  associated with investment in &quot;next&quot; facility,Array | Internal Calculation | Sector Interface,,
SE.nominal_Attr,Unitless,attractiveness of investment in full commercial scale plants by technology  based on economic considerations alone,Array | Internal Calculation,"part of nested logit calculation for allocation of investment to different pathways, regions",
SE.Nominal_Plant_Utilization_Factors,Unitless,Assumed relationship between cost:price ratio and aggregate facility utilization.,Array | Graphical function,values returned by graphical function should go from 0 to 1.,
SE.nominal_regional_distn_new_facilities,Unitless,"Calculates relative attractiveness of different commercial scale conversion options, by region.",Array | Internal Calculation,,
SE.NPV_Investment,US Dollars,Calculates the net present value of the &quot;next&quot; investment in facilities,Array | Internal Calculation,,
SE.NPV_rel_to_a_million,US Dollars*Years/Gallons,"Scales NPV of commercial scale project by normalizing by expected next plant output, which is expressed in million gallons per year. The calculation gives a measure of the net present value of the investment relative to expected annual production.",Array | Internal Calculation,,
SE.NPV_Revs_Net_of_Op_Cost,US Dollars,"Calculates the net present value of the revenues net of operating costs, associated with the &quot;next&quot; facility investment",Array | Internal Calculation,,
SE.NPV_Taxes,US Dollars,Calculates the net present value taxes associated with the &quot;next&quot; facility investment,Array | Internal Calculation,,
SE.NPV_Taxes_1,US Dollars,Calculates net present value of taxes for first years of plant productive life.  Specific time for NPV calculation is controlled by SMALLER of depreciation period or loan term,Array | Internal Calculation,,
SE.NPV_Taxes_2,US Dollars,Calculates net present value of taxes during portion portion of commercial-scale plant lifetime AFTER depreciation OR loan period--whichever is shorter-- and BEFORE both loan repayment and depreciation are completed,Array | Internal Calculation,,
SE.NPV_Taxes_3,US Dollars,Calculates net present value of taxes during portion portion of plant lifetime AFTER depreciation and loan period,Array | Internal Calculation,,
SE.Number_of_Doublings_of_Cume_Output,doubling,Accumulates the number of doublings of cumulative pathway output,Array | Internal Calculation,,
SE.Number_of_Doublings_of_PC_Experience,doubling,Accumulates the number of doublings of cumulative pre commercial scale experience,Array | Internal Calculation,,
SE.Number_of_Doublings_of_Pilot_Experience,doubling,Accumulates the number of doublings of cumulative pilot scale,Array | Internal Calculation,,
SE.number_of_plants_to_start,Projects,Integerizes the quantity in the plant start accumulator stock.  Used to support discrete movement of projects into design and construction,Array | Internal Calculation,,
SE.one,Unitless,the loneliest number--3 dog night,scalar | constant,,
SE.one_billion,per billion,one billion,scalar | constant |unit conversion,,
SE.one_dollar_per_gal,USD per gallon,one,scalar | constant |unit conversion,,
SE.one_dollar_per_ton,USD per ton,one,scalar | constant |unit conversion,,
SE.one_hundred_PCT,percent,one hundred,scalar | constant |unit conversion,,
SE.one_million,per million,one million,scalar | constant |unit conversion,,
SE.one_project,projects,one project,scalar | constant |unit conversion,,
SE.OnLine,projects,Calculates commercial scale operations that are currently on line,Array | Internal Calculation | Module Interface,,Program Scenarios
SE.op_cost_scale_factor,Unitless,exponent for scale factor for operating cost,scalar |constant | Techno Economic Input,,
SE.Op_Experience_Per_Year,HoursPerProjectPerYr,"Hours of experience generated per year of operation, for pre commercial scale operations",scalar | Constant |Techno Economic Input,,Program Scenarios
SE.ORNOVOC_influx,projects-usd/yr^2,"Calculates the state of the industry other rev net of vbl op cost, applying it to influx of full commercial-scale plantsinto design and construction.  Resultant downstream structure used to track the attribute for commercial facilities.",Array | Internal Calculation,,
